 ,2004,1,0,0
Elantris,2005,1,201372,0
The Hope of Elantris,2006,1,6161,0
The Final Empire,2006,6,211959,1
Alcatraz vs the Evil Librarians,2007,1,65539,5
The Well of Ascension,2007,6,249522,1
The Scrivener's Bones,2008,1,65025,5
Defending Elysium,2008,5,29453,4
The Hero of Ages,2008,9,241889,1
The Knights of Crystallia,2009,1,59073,5
The Gathering Storm,2009,5,297502,8
Warbreaker,2009,9,196014,3
The Shattered Lens,2010,1,60577,5
The Way of Kings,2010,5,384265,2
Towers of Midnight,2010,9,327052,8
Infinity Blade: Awakening,2011,1,39040,9
The Alloy of Law,2011,5,96646,1
The Eleventh Metal,2011,9,6815,1
The Emperor's Soul,2012,1,31925,0
Legion,2012,6,17910,7
Infinity Blade: Redemption,2013,1,37681,9
Shadows for Silence in the Forests of Hell,2013,3,17892,3
Steelheart,2013,5,108686,6
Mitosis,2013,7,9034,6
The Rithmatist,2013,9,90110,9
A Memory of Light,2013,11,353906,8
Legion: Skin Deep,2014,1,37323,7
Allomancer Jak and the Pits of Eltania,2014,3,8000,1
Sixth of the Dusk,2014,6,18083,3
Words of Radiance,2014,9,398238,2
Shadows of Self,2015,1,114776,1
Perfect State,2015,5,18268,9
Firefight,2015,9,105072,6
The Dark Talent,2016,1,51711,5
The Bands of Mourning,2016,3,130295,1
Mistborn: Secret History,2016,5,44981,1
Calamity,2016,7,103548,6
Edgedancer,2016,9,51324,2
White Sand,2016,11,30000,3
Snapshot,2017,1,25079,9
Oathbringer,2017,6,458045,2
Skyward,2018,1,137231,4
Legion: Lies of the Beholder,2018,4,28062,7
Children of the Nameless,2018,7,51854,9
White Sand 2,2018,10,30000,3
Starsight,2019,1,140000,4
White Sand 3,2019,6,30000,3
Dark One,2020,1,30000,9
Dawnshard,2020,5,56282,2
Rhythm of War,2020,9,460000,2